"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gm2115",-2.59417623116785,9.8992742357667,-4.41328176617673,0.00139284751868052,0.0645202750938667,-0.740260256540131
"Qpct",-1.90913200563087,7.73836289982283,-4.38695445873456,0.00145018720812497,0.065550910525931,-0.778965757071451
"Slc26a7",-1.68881492158723,6.21119579299996,-4.32979927760192,0.00158345394631077,0.0676370768856421,-0.863355295915939
"Il11",-3.25125748119792,11.3135659076507,-4.31378411924683,0.00162307870828856,0.0676370768856421,-0.887089819642076
"Igfbp5",-2.97376887846315,10.805531513128,-4.30993515396818,0.0016327573851321,0.0676370768856421,-0.892799714430034
"Galnt18",-2.55927478333574,9.53853772384531,-4.3023110050461,0.0016521099747317,0.0676370768856421,-0.904116570986188
"Mcpt8",-3.11617787059007,10.2322303085901,-4.27968338305639,0.00171098872699921,0.0677738430076946,-0.937754608011802
"Calb2",-1.71813582683628,9.05056331613337,-4.19979858618981,0.00193724143812692,0.0698766138361906,-1.05711279140201
"Ccrn4l",-1.79367062642294,10.8384077333513,-4.17158336929929,0.00202453293922255,0.070614190426379,-1.09949118798874
"Gzme",-3.24633172983818,10.5058627790761,-4.12655273906783,0.00217255451949845,0.0723609914463789,-1.16736095752768
"Nptx2",-1.50337931608609,7.94247164925815,-4.10975749704452,0.00223064881154476,0.0728418850391633,-1.19274781686793
"Pla1a",-2.61089326521194,8.93844888286363,-4.08205592164345,0.00233007407908558,0.0732462479961541,-1.23470607332744
"2310005G13Rik",-1.61369313168804,6.37234707512713,-4.05643247321262,0.00242620275481574,0.0747447374581362,-1.27361103500335
"Fez1",-1.77917912624242,10.1100556238284,-4.0442903312497,0.00247320538392281,0.0749893800364462,-1.2920782385403
"Vgf",-1.74285569434724,8.06321723419033,-4.00775940427505,0.00262048752309146,0.0761232434137992,-1.34775911354811
"Ccl2",-1.60585657445,13.7086775979344,-3.94154540445322,0.00291145164924502,0.0796654302350569,-1.44913546584923
"Gdnf",-1.90110932031912,9.66399171450894,-3.82834653838011,0.00349018493953394,0.0831390715406659,-1.62374776823888
"Il6",-1.82328583884382,13.7735186469444,-3.81325614511625,0.00357600064677819,0.0835267988330975,-1.64714444344226
"Cxcl1",-2.35492631276458,11.9639518469167,-3.79768180033021,0.00366688925104626,0.0842253596354887,-1.67131999661818
"Slc2a13",-1.63698896695256,8.5740696627591,-3.7776851937739,0.00378714482198906,0.0854835712488297,-1.70240209953773
"Ccl7",-1.68580669763259,12.7909414551134,-3.74754659252227,0.00397624820773481,0.086467800501993,-1.74933645799547
"Slco4a1",-1.92301171193033,10.5152018357251,-3.74127229415329,0.00401684327752417,0.086467800501993,-1.75912041997474
"Ngf",-1.68237889313271,11.2840940907756,-3.72075361400494,0.00415265248579865,0.0873515879012185,-1.79114772160028
"Gzmd /// Gzme",-3.59875364041316,10.7437400551301,-3.71921887838046,0.00416300162837218,0.0873515879012185,-1.79354516518868
"Megf10",-1.61607678818037,8.50985549597029,-3.65046691497329,0.00465537482089559,0.0904212525396718,-1.90120824793086
"Gzmd",-3.60103908771662,8.91434860774017,-3.600072179877,0.00505462945619568,0.0938737426854933,-1.98044113418378
"Ptgs2",-1.74840445604436,13.4426235545252,-3.56909188447498,0.00531763213104835,0.0955636652199398,-2.02927629826299
"Epgn",-2.21790818236835,8.33037153812392,-3.46640888726576,0.00629581917040435,0.0996008636849466,-2.19178174407398
"Cd55",-2.19506243684216,9.44103728984008,-3.44756667128447,0.00649472095771033,0.100002581474645,-2.22170192377865
"Dio2",-2.71859759447975,9.01799666284029,-3.41937183382086,0.00680459916278673,0.101412772747651,-2.26652771238823
"Fbxo32",-1.54584015976743,8.65861653548822,-3.36768531967364,0.0074130563013508,0.10425134433271,-2.3488622168488
"2310076G05Rik /// Htr1b",-1.85520315317005,9.63631464719057,-3.332092282621,0.00786455727942207,0.106820822541151,-2.40567315609289
"Serpine2",-1.9204443766631,11.7185764683758,-3.33182186324136,0.00786809426485123,0.106820822541151,-2.40610511172076
"Mmp13",-1.65652757741319,10.4527265475222,-3.27863946437057,0.00859663222210295,0.109483711560316,-2.49114773831466
"Tnfrsf11b",-1.87207874139715,8.37139818597188,-3.25395069918388,0.00895814495583321,0.111420119929565,-2.53068513156715
"Grem2",-1.73223502810034,11.14605374433,-3.17426380841499,0.0102354494545051,0.11677863012826,-2.65851697463225
"Il33",-2.13959916629265,11.409439860573,-3.16269722551464,0.0104358358341127,0.11738013901541,-2.67709632902568
"Hsd3b2 /// Hsd3b3 /// Hsd3b6",-2.12358294413005,8.54310138140623,-3.10827636162538,0.011434079301386,0.120649652097267,-2.76458130713211
"Parm1",-2.00508227522615,9.36725099989481,-3.06355423350022,0.0123273598127789,0.122966619732842,-2.83654591773479
"Penk",-2.51140587089935,9.6347807949717,-3.04852927532335,0.0126432284475518,0.123411486269257,-2.86073464083063
"Frzb",-2.21140251795278,9.61306862937767,-2.96115773543701,0.0146509431225002,0.12998168977652,-3.00146589065665
"Lcn2",-3.62168267032987,10.6930053099205,-2.95037335169108,0.0149203238843662,0.131409683432109,-3.01884110921326
"Grem1",-1.70153625088781,13.069757593058,-2.94822188960639,0.0149746645973011,0.131728743086581,-3.02230745628312
"Bdkrb1",-1.67447470424871,8.82690985694011,-2.93723054115951,0.015255435203925,0.13284246683307,-3.04001628679939
"Krt23",-1.66173330173396,8.84777880877795,-2.92107743123834,0.0156778005720938,0.133903433891263,-3.06604117073956
"Tnc",-1.74627342120825,11.1111582071262,-2.86829423652429,0.0171425307999163,0.138531158172764,-3.15106881826146
"Perp",-1.75095428906877,8.15210577695439,-2.65710725582917,0.0245254123812835,0.160867828175009,-3.49047518861314
"Cxcl2",-1.86221906109272,9.47954092814248,-2.60134126794279,0.0269602733352842,0.166208235905971,-3.57969483204202
"Crct1",-2.14108271937744,8.6568040446374,-2.57337723957572,0.0282705925880542,0.168932077553973,-3.62434072250896
"Acta1",-1.74810784580319,11.042156978207,-2.54860723180691,0.0294840925253821,0.172261639671595,-3.66382842579473
"Hist1h3b /// Hist1h3c /// Hist1h3d /// Hist1h3e /// Hist1h3f /// Hist2h3b /// Hist2h3c1 /// Hist2h3c2",-1.93222732468006,9.44543639691904,-2.53894488631718,0.0299713749862659,0.173666803904483,-3.67921592776238
"Lgi2",-1.84979657131433,10.5825509602003,-2.44735792209421,0.0350053456952052,0.185951319793711,-3.82456820721568
"Maob",-2.2111395165644,8.36235566410381,-2.44045807753606,0.0354168028835464,0.18712835352566,-3.83547806501557
"Sod3",-2.37572577305227,11.5875544865618,-2.35396306218776,0.0409966735557778,0.201112566854293,-3.97168272373578
"Il1rl1",-1.55700999038404,9.35115209786367,-2.30139950407613,0.0447994554109745,0.208700602017044,-4.05389126261096
