"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Csf3",-2.94331354965706,8.97373856748174,-9.26322661055602,3.85186598782559e-06,0.0165023241810935,4.57330694810387
"Lrrc8d",-1.73294150448056,10.4622685362915,-8.20954223242353,1.10493518960359e-05,0.0165023241810935,3.69520020951938
"Abcb1a",-2.05113672881223,7.90414152749618,-8.1288495119965,1.20295808032416e-05,0.0165023241810935,3.62258873700998
"Prn /// Prnd",-3.10619490850779,7.3538555616996,-8.12310308600831,1.21029146909376e-05,0.0165023241810935,3.61738704831439
"Nabp1",-2.08062388969748,9.85545680318089,-7.63105531258908,2.06226240007162e-05,0.0195610071825924,3.15639029585123
"Olr1",-2.36650968113285,11.4499600785757,-7.17407315742139,3.46273746070195e-05,0.0269796715866692,2.69937902773372
"Sept4",-2.59332322487148,8.80325569906389,-7.11155321522493,3.72399119257907e-05,0.0280146868473466,2.63459301262693
"Uchl1",-1.85723999963581,9.72421516856781,-6.76841098662285,5.59685453854124e-05,0.0313079432340553,2.26895602118361
"Rgs16",-2.4726699204897,10.7809831259016,-6.66670269353903,6.33245982943859e-05,0.0332257548034543,2.15724348483368
"Lif",-2.00126816441896,9.53255020450691,-6.58741712335341,6.97850835025738e-05,0.0336755165578205,2.06907923618643
"Krt20",-2.07339465234332,7.205220089384,-6.53883954392643,7.40935457817833e-05,0.0336755165578205,2.01459032323729
"Dkk2",-2.44103836816251,7.51518589823,-6.23321463024703,0.000108757298861465,0.0356427117186349,1.66343155505817
"Kcnk10",-1.77474683938551,7.46706843568897,-5.96891297410188,0.000153061137198843,0.0387380030418274,1.34790985682836
"Sytl2",-2.07819944678641,8.2512438325389,-5.81408441600465,0.000187798032438543,0.0387380030418274,1.15786849865657
"Gng2",-1.5029819132075,8.4205481991317,-5.80172304906063,0.000190916701262166,0.0387380030418274,1.14252817050675
"Il1a",-3.46005929251698,9.68940035880667,-5.58049309718341,0.000257279424914216,0.0424361551580591,0.863760726477174
"Sprr2h",-2.30284396193869,7.22533204930861,-5.53890772205732,0.000272325894853698,0.0424361551580591,0.810462551072606
"Ereg",-1.89478229693864,12.6283338540801,-5.35068871337435,0.000353290067915192,0.045364909548351,0.565659312113137
"S100b",-1.83949661126646,7.52334821773662,-5.33100954481832,0.00036314179223135,0.045364909548351,0.539725549287822
"Cd24a",-2.03855529003576,10.8076081816942,-5.13497209131927,0.000479044648205752,0.0490967271319066,0.277879280599947
"Ptges",-2.05518110439359,9.77912369403984,-5.072404047395,0.000523931501977752,0.0497837030396174,0.192968312991635
"Sox11",-1.96987596502554,7.03614404322388,-5.00086646169747,0.000580829825725173,0.0499211065812008,0.0950927952424596
"Nr4a2",-1.55518446343362,8.69538883036066,-4.91307853650398,0.000659829219912046,0.0524829930255302,-0.0261670479429759
"Nipal1",-2.01366031198807,8.72838025867372,-4.82140936448172,0.000754705582876204,0.0550951312163918,-0.154135302596112
"Asb5",-3.49947217827605,9.75352979235812,-4.54948764153143,0.0011322430657074,0.0612928404999319,-0.541721959728891
"Havcr2",-1.70846515596815,7.37834372826134,-4.4349445730394,0.00134746977568129,0.0637994981160751,-0.708491856612022
