"","SYMBOL","ENTREZID"
"1","Anxa8","11752"
"3","Ogn","18295"
"4","Rspo1","192199"
"5","Igfbp3","16009"
"6","Tmem88","67020"
"7","Gpm6a","234267"
"8","Gpc3","14734"
"9","Lrrn4","320974"
"10","Ifi27l2a","76933"
"11","Cadm4","260299"
